"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacturer_Name","Mouser_Part_Number","Manufacturer_Part_Number","Mouser URL"
"C1","1","100nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","","TDK","810-FA18X8R1E104KNU6","FA18X8R1E104KNU06",""
"C2,C3","2","220nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","","TDK","810-FA18X8R1E224KRU6 ","FA18X8R1E224KRU06",""
"C4","1","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","Panasonic"," 667-EEU-FC1H100L ","EEU-FC1H100L","https://www.mouser.fr/ProductDetail/Panasonic/EEU-FC1H100L?qs=y21It3NrCcwTwLLc39Q8Gg%3D%3D"
"C5,C6","2","0.1uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","","TDK","810-FA18X8R1E104KNU6 ","FA18X8R1E104KNU06",""
"C7","1","47uF","","","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","","Panasonic","667-EEU-FC1H470B ","EEU-FC1H470B",""
"D1,D2,D3,D4","4","D","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","","Vishay","78-1N914-TAP,78-1N914-TAP ","1N914TAP",""
"D5,D6,D7,D8","4","LED","","","","LED_THT:LED_D3.0mm","","Wurth","710-151031SS04000","151031SS04000",""
"D9","1","SB230TA","","","","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","https://www.mouser.com/datasheet/2/115/ds13002-60388.pdf","SMC","833-SB230-TP ","SB230TA","https://www.mouser.fr/ProductDetail/Micro-Commercial-Components-MCC/SB230-TP?qs=P1JMDcb91o64q2VtM2oH0Q%3D%3D"
"D10","1","TP6KE47A","","","","Diode_THT:D_DO-15_P12.70mm_Horizontal","","Littelfuse","576-TP6KE47A ","TP6KE47A",""
"F1","1","Polyfuse","","","","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","","Bel Fuse","530-0ZRP0050FF1E ","0ZRP0050FF1E","https://www.mouser.fr/ProductDetail/Bel-Fuse/0ZRP0050FF1E?qs=gTYE2QTfZfSM60hMvV%252BG8g%3D%3D"
"J1","1","Molex MAX150_2x10","","","Exclure du PCB","Open_Flex_KiCadLibrary:Molex_CONN_MX150_20w","","Molex","538-33472-2001 ","Manufacturer_Part_Mating 33472-2001  0 0 Centrer Centrer 0 0 ",""
"J2","1","Molex MAX150_2x10","","","","Open_Flex_KiCadLibrary:Molex_CONN_MX150_20w","","Molex","538-34830-2001 ","34830-2001",""
"Q1,Q2,Q3,Q4","4","STP80NF55-08","","","","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","","STMicroelectronics","511-STP80NF55-08","STP80NF55-08",""
"R1,R2,R3,R4","4","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","YAGEO","603-MFR-25FBF52-10K","MFR-25FBF52-10K",""
"R5,R6,R7,R8","4","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","YAGEO","603-MFR-25FBF52-1K"," MFR-25FBF52-1K",""
"R9","1","2.49k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","Yageo","603-MFR-25FBF52-2K49","MFR-25FBF52-2K49",""
"R10","1","470R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""," YAGEO","603-MFR-25FTE52-470R","MFR-25FTE52-470R",""
"R11","1","2.4k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","Yageo","603-MFR-25FBF52-2K4","MFR-25FBF52-2K4",""
"U1","1","ESP32-S2-DEVKITC-1","","","","Open_Flex_KiCadLibrary:MODULE_ESP32-S2-DEVKITC-1","","","","",""
"U2","1","LM324","","","","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf","Texas Instrument","595-LM324KAN ","LM324KAN ",""
"U3,U4","2","TC4424","","","","Package_DIP:DIP-8_W7.62mm_Socket",""," Microchip Technology","579-TC4424AVPA ","TC4424AVPA ",""
"U5","1","LM2940S-5.0","","","","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","","ON Semi","863-NCV7805BTG","NCV7805BTG",""
